site_id,location_name,city_name,latitude,longitude,district_code,district_name,state_code,state_name,ncap_city_flag
site_1391,"RIICO Ind. Area III, Bhiwadi - RSPCB",Bhiwadi - NCR,28.194909,76.862296,IN-104,Alwar,IN-RJ,Rajasthan,0
site_1392,"Civil Lines, Ajmer - RSPCB",Ajmer,26.470859,74.646594,IN-119,Ajmer,IN-RJ,Rajasthan,0
site_1393,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,26.902909,75.836858,IN-110,Jaipur,IN-RJ,Rajasthan,1
site_1394,"Shrinath Puram, Kota - RSPCB",Kota,25.14389,75.821256,IN-127,Kota,IN-RJ,Rajasthan,1
site_1395,"Indira Colony Vistar, Pali - RSPCB",Pali,25.771061,73.340227,IN-118,Pali,IN-RJ,Rajasthan,0
site_1396,"Shastri Nagar, Jaipur - RSPCB",Jaipur,26.9502929,75.730943,IN-110,Jaipur,IN-RJ,Rajasthan,1
site_1397,"Ashok Nagar, Udaipur - RSPCB",Udaipur,24.5886166,73.6321397,IN-130,Udaipur,IN-RJ,Rajasthan,1
site_1398,"Lajpat Nagar, Moradabad - UPPCB",Moradabad,28.825341,78.7213009,IN-135,Moradabad,IN-UP,Uttar Pradesh,1
site_1399,"Anam Kala Kendram, Rajamahendravaram - APPCB",Rajamahendravaram,16.9872867,81.7363176,IN-546,West Godavari,IN-AP,Andhra Pradesh,1
site_1400,"Mahakaleshwar Temple, Ujjain - MPPCB",Ujjain,23.182719,75.768218,IN-435,Ujjain,IN-MP,Madhya Pradesh,1
site_1401,"Vindhyachal STPS, Singrauli - MPPCB",Singrauli,24.10897,82.64558,IN-463,Singrauli,IN-MP,Madhya Pradesh,0
site_1402,"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,22.624758,75.675238,IN-438,Dhar,IN-MP,Madhya Pradesh,0
site_1403,"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,23.10844,77.511428,IN-446,Raisen,IN-MP,Madhya Pradesh,0
site_1404,"Bhopal Chauraha, Dewas - MPPCB",Dewas,22.9682591,76.064118,IN-437,Dewas,IN-MP,Madhya Pradesh,1
site_1405,"Nishant Ganj, Lucknow - UPPCB",Lucknow,26.871428,80.957145,IN-157,Lucknow,IN-UP,Uttar Pradesh,1
site_1406,"Secretariat, Amaravati - APPCB",Amaravati,16.5150833,80.5181667,IN-548,Guntur,IN-AP,Andhra Pradesh,1
site_1408,"Talcher Coalfields,Talcher - OSPCB",Talcher,20.9360711,85.1707021,IN-384,Anugul,IN-OR,Odisha,1
site_1410,"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,21.8004996,83.8396977,IN-371,Jharsuguda,IN-OR,Odisha,0
site_1416,"Padmapukur, Howrah - WBPCB",Howrah,22.5687319,88.2797276,IN-341,Haora,IN-WB,West Bengal,1
site_1418,"Asansol Court Area, Asansol - WBPCB",Asansol,23.685297,86.945968,IN-335,Barddhaman,IN-WB,West Bengal,1
site_1419,"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,26.6883049,88.412668,IN-328,Jalpaiguri,IN-WB,West Bengal,0
site_1420,"Ashok Vihar, Delhi - DPCC",Delhi,28.695381,77.181665,IN-90,North West Delhi,IN-DL,Delhi,1
site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,28.498571,77.26484,IN-98,South Delhi,IN-DL,Delhi,1
site_1422,"Dwarka-Sector 8, Delhi - DPCC",Delhi,28.5710274,77.0719006,IN-97,South West Delhi,IN-DL,Delhi,0
site_1423,"Jahangirpuri, Delhi - DPCC",Delhi,28.73282,77.170633,IN-90,North West Delhi,IN-DL,Delhi,1
site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,28.58028,77.233829,IN-98,South Delhi,IN-DL,Delhi,1
site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,28.611281,77.237738,IN-94,New Delhi,IN-DL,Delhi,1
site_1426,"Narela, Delhi - DPCC",Delhi,28.822836,77.101981,IN-90,North West Delhi,IN-DL,Delhi,1
site_1427,"Najafgarh, Delhi - DPCC",Delhi,28.570173,76.933762,IN-97,South West Delhi,IN-DL,Delhi,1
site_1428,"Okhla Phase-2, Delhi - DPCC",Delhi,28.530785,77.271255,IN-98,South Delhi,IN-DL,Delhi,1
site_1429,"Nehru Nagar, Delhi - DPCC",Delhi,28.56789,77.250515,IN-98,South Delhi,IN-DL,Delhi,1
site_1430,"Rohini, Delhi - DPCC",Delhi,28.732528,77.11992,IN-90,North West Delhi,IN-DL,Delhi,1
site_1431,"Patparganj, Delhi - DPCC",Delhi,28.623748,77.287205,IN-93,East Delhi,IN-DL,Delhi,1
site_1432,"Sonia Vihar, Delhi - DPCC",Delhi,28.710508,77.249485,IN-92,North East Delhi,IN-DL,Delhi,1
site_1433,"Bandhavgar Colony, Satna - Birla Cement",Satna,24.58434363,80.8549414,IN-429,Satna,IN-MP,Madhya Pradesh,0
site_1434,"Wazirpur, Delhi - DPCC",Delhi,28.699793,77.165453,IN-90,North West Delhi,IN-DL,Delhi,1
site_1435,"Vivek Vihar, Delhi - DPCC",Delhi,28.672342,77.31526,IN-92,North East Delhi,IN-DL,Delhi,1
site_1437,"Model Town, Patiala - PPCB",Patiala,30.349388,76.366642,IN-48,Patiala,IN-PB,Punjab,1
site_1438,"Civil Line, Jalandhar - PPCB",Jalandhar,31.321907,75.578914,IN-37,Jalandhar,IN-PB,Punjab,1
site_144,"Vasundhara, Ghaziabad - UPPCB",Ghaziabad - NCR,28.6603346,77.3572563,IN-141,Gautam Buddha Nagar,IN-UP,Uttar Pradesh,1
site_1447,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,15.351773,75.140726,IN-562,Dharwad,IN-KA,Karnataka,1
site_1450,"Kalal Majra, Khanna - PPCB",Khanna,30.736056,76.209694,IN-41,Ludhiana,IN-PB,Punjab,1
site_146,"Vikas Sadan, Gurugram - HSPCB",Gurugram - NCR,28.4501238,77.0263051,IN-86,Gurgaon,IN-HR,Haryana,0
site_147,"MD University, Rohtak - HSPCB",Rohtak - NCR,28.87793,76.620825,IN-82,Rohtak,IN-HR,Haryana,0
site_153,"Sector - 125, Noida, UP - UPPCB",Noida - NCR,28.5447608,77.3231257,IN-141,Gautam Buddha Nagar,IN-UP,Uttar Pradesh,1
site_1538,"Ratanpura, Rupnagar - Ambuja Cements",Rupnagar,31.0325454,76.5623046,IN-51,Rupnagar,IN-PB,Punjab,0
site_1541,"Knowledge Park - III, Greater Noida - UPPCB",Greater Noida - NCR,28.47272,77.482,IN-141,Gautam Buddha Nagar,IN-UP,Uttar Pradesh,0
site_1542,"Yamunapuram, Bulandshahr - UPPCB",Bulandshahr - NCR,28.406963,77.849831,IN-142,Bulandshahr,IN-UP,Uttar Pradesh,0
site_1549,"Hardev Nagar, Bathinda - PPCB",Bhatinda,30.233011,74.907758,IN-46,Bathinda,IN-PB,Punjab,0
site_1550,"New Mandi, Muzaffarnagar - UPPCB",Muzaffarnagar,29.4723508,77.7194031,IN-133,Muzaffarnagar,IN-UP,Uttar Pradesh,0
site_1551,"Tamaka Ind. Area, Kolar - KSPCB",Kolar,13.1276288,78.1570122,IN-581,Kolar,IN-KA,Karnataka,0
site_1553,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,12.951913,77.539784,IN-572,Bangalore,IN-KA,Karnataka,1
site_1554,"Hebbal, Bengaluru - KSPCB",Bengaluru,13.029152,77.585901,IN-572,Bangalore,IN-KA,Karnataka,1
site_1555,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,12.938539,77.5901,IN-572,Bangalore,IN-KA,Karnataka,1
site_1556,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,12.920984,77.584908,IN-572,Bangalore,IN-KA,Karnataka,1
site_1557,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,13.428828,77.731418,IN-582,Chikkaballapura,IN-KA,Karnataka,0
site_1558,"Silk Board, Bengaluru - KSPCB",Bengaluru,12.917348,77.622813,IN-572,Bangalore,IN-KA,Karnataka,1
site_1560,"Bawana, Delhi - DPCC",Delhi,28.7762,77.051074,IN-90,North West Delhi,IN-DL,Delhi,1
site_1561,"Mundka, Delhi - DPCC",Delhi,28.684678,77.076574,IN-96,West Delhi,IN-DL,Delhi,1
site_1562,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,28.531346,77.190156,IN-98,South Delhi,IN-DL,Delhi,1
site_1563,"Pusa, Delhi - DPCC",Delhi,28.639645,77.146262,IN-96,West Delhi,IN-DL,Delhi,1
site_1565,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,17.321993,76.822628,IN-579,Gulbarga,IN-KA,Karnataka,1
